,Algorithm,Dataset,nnmd,line
351,ComBat+QN,CCR-JACKS,-5.123324679599988,ACH-000935
352,ComBat+QN,CCR-JACKS,-4.906878311102965,ACH-000937
353,ComBat+QN,CCR-JACKS,-5.269816759391946,ACH-000938
354,ComBat+QN,CCR-JACKS,-4.929756740439254,ACH-000939
355,ComBat+QN,CCR-JACKS,-4.604254423752018,ACH-000941
356,ComBat+QN,CCR-JACKS,-4.9593678123345075,ACH-000946
357,ComBat+QN,CCR-JACKS,-4.08945516214954,ACH-000953
358,ComBat+QN,CCR-JACKS,-5.178296688386897,ACH-000960
359,ComBat+QN,CCR-JACKS,-3.4261636550362633,ACH-000963
360,ComBat+QN,CCR-JACKS,-5.355396468883922,ACH-000968
361,ComBat+QN,CCR-JACKS,-5.310341781263289,ACH-000973
362,ComBat+QN,CCR-JACKS,-5.219959774743398,ACH-000975
363,ComBat+QN,CCR-JACKS,-4.938002875732866,ACH-000976
364,ComBat+QN,CCR-JACKS,-3.901290215471033,ACH-000978
365,ComBat+QN,CCR-JACKS,-5.62398645543274,ACH-000983
366,ComBat+QN,CCR-JACKS,-4.012935859990592,ACH-000984
367,ComBat+QN,CCR-JACKS,-5.170029551550894,ACH-000986
368,ComBat+QN,CCR-JACKS,-4.711515784101368,ACH-000988
369,ComBat+QN,CCR-JACKS,-5.1764727031807345,ACH-000993
370,ComBat+QN,CCR-JACKS,-5.324972734639054,ACH-000994
371,ComBat+QN,CCR-JACKS,-4.708111577811072,ACH-000996
372,ComBat+QN,CCR-JACKS,-5.242371941899282,ACH-001001
373,ComBat+QN,CCR-JACKS,-4.766238853428265,ACH-001020
374,ComBat+QN,CCR-JACKS,-5.293679910181816,ACH-001028
375,ComBat+QN,CCR-JACKS,-5.297953552135508,ACH-001031
376,ComBat+QN,CCR-JACKS,-4.473132578701216,ACH-001033
377,ComBat+QN,CCR-JACKS,-5.324580279509817,ACH-001038
378,ComBat+QN,CCR-JACKS,-5.679717423657119,ACH-001048
379,ComBat+QN,CCR-JACKS,-5.249725666681617,ACH-001050
380,ComBat+QN,CCR-JACKS,-4.994046078195203,ACH-001053
381,ComBat+QN,CCR-JACKS,-5.414096151259339,ACH-001054
382,ComBat+QN,CCR-JACKS,-5.582161619803839,ACH-001061
383,ComBat+QN,CCR-JACKS,-5.157404847743192,ACH-001067
384,ComBat+QN,CCR-JACKS,-4.488800757350817,ACH-001075
385,ComBat+QN,CCR-JACKS,-5.262172373507047,ACH-001096
386,ComBat+QN,CCR-JACKS,-5.356868073305797,ACH-001134
